"","Species","Flowering","Fruit.ripening","Seed.dispersal","pdf_table_number","genus_name","Color.of.ripe.fruit","Height.of.mature.trees..m.","Year.first.cultivated","Location","Color.of.ripe.fruits","Fruit.drop","Location....altitude.","Location....elevation.","Height.at.maturity..m.","Growth.habit...maximum.height","Flower.color","Flowering.habit","Dispersal","Cone.ripening","Seed.ripening...dispersal","Origin","Color.of.ripe.fruit.","Seed.size..mm.","Diam.of.ripe.fruit..mm.","Cleaned..kg","seeds.wt..lb","Fruit...seed.ripening","Location...elevation..m.","Tree.ht..m.","Age..yrs..","Interval..yrs."
"238","R. camtschaticum","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very small shrub; to 0.2 m","Reddish purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","R. canadense","Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Much branched shrub; to 0.9 m","Rose-purple, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","R. canescens","Apr-May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sparingly branched shrub; to 4.6 m","Pink, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","R. cumberlandense","June-July",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low and twiggy, often stoloniferous shrub; to 2.4 m but rarely over 1.8 m","Yellow, orange, scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","R. flammeum","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mounding form; to 2.5 m","Scarlet, orange, yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","R. lapponicum","Apr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dwarf, procumbent shrub; to 0.3 m","Purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","R. oblongifolium","June",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upright, somewhat stoloniferous shrub; to 1.8 m","White, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","R. occidentale","Apr-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rounded, occasionally upright or low shrub; to 1.0-4.6 m","White, pink, pale yellow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","R. periclymenoides","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Usually tall, vigorous and much- branched shrub; to 2.7 m & up to 4.5 m in wild","Pale pink, rose, reddish, white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","R. prinophyllum","May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upright, well branched shrub; to 2.5 m","Pink, white, rosy red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","R. prunifolium","July-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tall, rounded-topped; up to 3.6 or 5.5 m in wild","Yellow, orange, scarlet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","R. vaseyi","Apr-May",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upright shrub to 3.6 m","White, pink, crimson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","R. viscosum","July-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Form various: large & upright to dwarf, small tree; from 3-6 m, rounded or straggly shrub, stoloniferous form to 4.6 m","White, pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","A. alnifolia","May-June","July-Aug",NA,"2","Amelanchier",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","var. semiintegrifolia","Apr","Aug",NA,"2","Amelanchier",NA,NA,NA,"Oregon (520 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","","May","",NA,"2","Amelanchier",NA,NA,NA,"Oregon (1,310 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","","May","Aug",NA,"2","Amelanchier",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","A. arborea","Mar-June","June-Aug",NA,"2","Amelanchier",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","A. canadensis","Mar-April","May-June",NA,"2","Amelanchier",NA,NA,NA,"Carolinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","","May","June",NA,"2","Amelanchier",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","A. laevis","Mar-June","June-Aug",NA,"2","Amelanchier",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","A. sanguinea","May-June","July-Sept",NA,"2","Amelanchier",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","C. americana","Mar-May","July-Sept",NA,"2","Corylus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","C. avellana","Feb-Apr","Sept-Oct",NA,"2","Corylus",NA,NA,NA,"Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","C. cornuta","Jan-Feb","Aug-Sept",NA,"2","Corylus",NA,NA,NA,"Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","var. california","Jan-Feb","Sept-Oct",NA,"2","Corylus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","B. alleghaniensis","Apr-May","Aug-Oct","Sept-Spring",NA,NA,NA,NA,NA,"Mid-range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","B. davurica","May","Oct","",NA,NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","B. lenta","Apr-May","Aug-Sept","Sept-Nov",NA,NA,NA,NA,NA,"Mid-range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","B. nana","June-Aug","Aug-Oct","Sept-Mar",NA,NA,NA,NA,NA,"Mid-range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","B. nigra","Apr-May","May-June","May-June",NA,NA,NA,NA,NA,"N part of range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","B. papyrifera","Apr-June","Aug-Sept","Aug-Spring",NA,NA,NA,NA,NA,"Mid-range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","B. pendula","Apr-June","July-Aug","July-Sept",NA,NA,NA,NA,NA,"Russia & Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","B. populifolia","Apr-May","Sept-Oct","Oct to mid-winter",NA,NA,NA,NA,NA,"Mid-range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","B. pubescens","May-June","Aug-Sept","Fall-Winter",NA,NA,NA,NA,NA,"Germany & Finland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","B. pumlia","May-June","Sept-Oct","Oct-Mar",NA,NA,NA,NA,NA,"Mid-range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","E. alata","May-June","Sept-Oct",NA,"3","Euonymus",NA,NA,NA,"New England & Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","E. americana","May-June","Sept-Oct",NA,"3","Euonymus",NA,NA,NA,"Carolinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","E. atropurpurea","May-June","Sept-Oct",NA,"3","Euonymus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","E. bungeana","June","Sept-Oct",NA,"3","Euonymus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","E. europaea","May-June","Aug-Nov",NA,"3","Euonymus",NA,NA,NA,"NE US & Europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","E. hamiltoniana ssp. maackii","June","Oct",NA,"3","Euonymus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","E. obovata","April-June","Aug-Oct",NA,"3","Euonymus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","E. verrucosa","May-June","Aug-Oct",NA,"3","Euonymus",NA,NA,NA,"NE US & Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","A. californica","Apr-Sept","Sept-Oct","Nov & Dec","2","Aesculus",NA,NA,NA,"S California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","A. flava","Apr-June","Sept","Sept","2","Aesculus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","A. glabra","Mar-May","Sept-mid-Oct","Early Sept-late Oct","2","Aesculus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","var. arguta","Mar-Apr","May-June","","2","Aesculus",NA,NA,NA,"Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","","May","Sept-Oct","Sept-Oct","2","Aesculus",NA,NA,NA,"Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","A. hippocastanum","Late Apr-early June","Mid-Sept-early Oct","Mid-Sept-mid-Oct","2","Aesculus",NA,NA,NA,"Europe & NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","A. parviflora","July-Aug","Oct-Nov","Oct-Nov","2","Aesculus",NA,NA,NA,"SW Georgia, Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","A. pavia","Mar-Apr","Sept-Oct","Sept-Nov","2","Aesculus",NA,NA,NA,"South part of range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","","May-June","Sept-Oct","Sept-Nov","2","Aesculus",NA,NA,NA,"North part of range",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","A. sylvatica","Apr-May","July-Aug","July-Aug","2","Aesculus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","","May","Sept-Oct","Sept-Oct","2","Aesculus",NA,NA,NA,"Minnesota",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","C. betulus C. caroliniana","Apr-May Mar-June","Aug-Nov Aug-Oct","Nov-spring Nov-spring","2","Carpinus",NA,NA,NA,"Europe & NE US NE US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","C. laevigata","Apr-May","Sept-Oct","Oct-Dec","2","Celtis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","C. laevigata var. reticulata","Mar-Apr","Late fall","Fall-winter","2","Celtis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","C. occidentalis","Apr-May","Sept-Oct","Oct-winter","2","Celtis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","F. americana","Apr-May","Oct-Nov","Sept-Dec","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","F. caroliniana","Feb-Mar","Aug-Oct","","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","F. dipetala","Apr-May","July-Sept","","2","Fraxinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,"Perfect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","F. excelsion","Apr-May","Aug-Sept","Winter-early spring","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Polygamous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","F. latifolia","Apr-May","Aug-Sept","Sept-Oct","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","F. nigra","May-June","June-Sept","July-Oct","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Polygamous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","F. ornus","May-June","","","2","Fraxinus",NA,NA,NA,"NE US",NA,NA,NA,NA,NA,NA,NA,"Polygamous",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","F. pennsylvanica","Mar-May","Sept-Oct","Oct-spring","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","F. profunda","Apr-May","Sept-Oct","Oct-Dec","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","F. quadrangulata","Mar-Apr","June-Oct","","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Perfect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","F. uhdei","Mar-May","July-Sept","July-Sept","2","Fraxinus",NA,NA,NA,"Hawaii",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","","Nov-Jan","Aug","","2","Fraxinus",NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","F. velutina","Mar-Apr","Sept","","2","Fraxinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Dioecious",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","A. auriculiformis","Mar-Apr","Jun-Jul",NA,NA,NA,NA,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","A. decurrens","Feb-Mar","",NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","A. farnesiana","Nov-Feb","Mar-Sep",NA,NA,NA,NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,"Mar-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","A. koa","Jan-Jul","Jun-Jul",NA,NA,NA,NA,NA,NA,"Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,"Feb; ;Jun-Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","A. mangium","Mar-Apr","",NA,NA,NA,NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,"May-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","A. mearnsii","Jun & later","Jun-Oct",NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,"Jun-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","A. melanoxylon","Feb-Jun May-Jun","Jul-Nov",NA,NA,NA,NA,NA,NA,"California Hawaii",NA,NA,NA,NA,NA,NA,NA,NA,"Jul-Dec or later",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","A. nilotica","Almost continuously","All year",NA,NA,NA,NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,"All year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","A. julibrissin","June-Aug","Sept-Nov","Sept-Nov","2","Albizia",NA,NA,NA,"S US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","A. lebbeck","Apr-Sept","year","All year","2","Albizia",NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","A. procera","Aug-Sept","Jan-June","All year","2","Albizia",NA,NA,NA,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","A. saman","Spring-fall","Fall-spring","All year","2","Albizia",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","P. albicaulis","July",NA,"Not shed","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","P. aristata","July-Aug",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","P. arizonica","May",NA,"Oct","3","Pinus",NA,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","P. armandii","Apr-May",NA,"Aug-Sept","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","P. attenuata","Apr",NA,"Closed cone","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan-Feb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","P. balfouriana","July-Aug",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","P. banksiana","May-June",NA,"Sept§","3","Pinus",NA,NA,NA,"Great Lakes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","P. brutia","Mar-May",NA,"Closed conet","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan-Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","P. canariensis","Apr-May",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","P. caribaea","Jan-Feb",NA,"Sept","3","Pinus",NA,NA,NA,"Cuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,"July-Aug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","P. cembra","May",NA,"Not shedt","3","Pinus",NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","P. cembroides","May-June",NA,"Nov-Dec","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nov-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","P. clausa","Sept-Dec",NA,"Sept§","3","Pinus",NA,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","P. contorta","",NA,"","3","Pinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","var. contorta","May-June",NA,"Fall§","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","var. latifolia","June-July",NA,"Sept-Oct §","3","Pinus",NA,NA,NA,"Rocky Mtns",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","var. murrayana","May-June",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","P. coulteri","May-June",NA,"Octê","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","P. densiflora","Apr",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","P. echinata","Mar-Apr",NA,"Oct-Nov","3","Pinus",NA,NA,NA,"South Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oct-Nov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","P. edulis","June",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","P. elliottii","",NA,"","3","Pinus",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","var. densa","Jan-Apr",NA,"Sept-Nov","3","Pinus",NA,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","var. elliottii","Jan-Feb",NA,"Oct","3","Pinus",NA,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","P. engelmannii","May",NA,"Nov-Feb","3","Pinus",NA,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nov-Dec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","P. flexilis","June-July",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"California, Montana",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","P. gerardiana","May-June",NA,"Nov","3","Pinus",NA,NA,NA,"India, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept-Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","P. glabra","Feb-Mar",NA,"Oct-Nov","3","Pinus",NA,NA,NA,"Mississippi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oct",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","P. halepensis","May-June",NA,"Fall §","3","Pinus",NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","P. heldreichii","May-July",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"Italy, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","P. jeffreyi","June-July",NA,"Sept-Oct","3","Pinus",NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aug-Sept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
