"db","query","kingdom","division","class","order","family","phylum"
"itis","Phlox","Plantae","Tracheophyta","Magnoliopsida","Ericales","Polemoniaceae",NA
"itis","Phoenix","Plantae","Tracheophyta","Magnoliopsida","Arecales","Arecaceae",NA
"itis","Picea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae",NA
"itis","Pimpinella","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Pinus","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae",NA
"itis","Plantaginaceae","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae",NA
"itis","Plantago","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae",NA
"itis","Platycodon","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae",NA
"itis","Polygonatum","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae",NA
"itis","Polygonum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae",NA
"itis","Potentilla","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Primula","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae",NA
"itis","Prunus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Pseudostellaria","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae",NA
"itis","Pseudotsuga","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae",NA
"itis","Pterocarpus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Pterocarya","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae",NA
"itis","Pterostyrax","Plantae","Tracheophyta","Magnoliopsida","Ericales","Styracaceae",NA
"itis","Puccinellia","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Pulsatilla",NA,NA,NA,NA,NA,NA
"itis","Pyrus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Quercus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae",NA
"itis","Ranunculus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA
"itis","Raphanus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Rhamnus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae",NA
"itis","Rhaponticum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Rhodeola",NA,NA,NA,NA,NA,NA
"itis","Rhododendron","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae",NA
"itis","Robinia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Rodiola",NA,NA,NA,NA,NA,NA
"itis","Rosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Rumex","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae",NA
"itis","Ruppia","Plantae","Tracheophyta","Magnoliopsida","Alismatales","Ruppiaceae",NA
"itis","Salvia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA
"itis","Sarracenia","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sarraceniaceae",NA
"itis","Saruma",NA,NA,NA,NA,NA,NA
"itis","Satureja","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA
"itis","Saxifraga","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae",NA
"itis","Scaevola","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae",NA
"itis","Sclerotinia","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae",NA
"itis","Scolopia",NA,NA,NA,NA,NA,NA
"itis","Scrophularia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae",NA
"itis","Selinum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Senecio","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Setaria","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Silphium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Sinapis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Sisymbrium","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Sisyrinchium","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Iridaceae",NA
"itis","Solanum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae",NA
"itis","Solidago","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Sorbus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Spartina","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Spiraea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Sporobolus","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Staphylea","Plantae","Tracheophyta","Magnoliopsida","Crossosomatales","Staphyleaceae",NA
"itis","Streptanthus","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Suaeda","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae",NA
"itis","Tamarix","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Tamaricaceae",NA
"itis","Taraxacum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Taxodium","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae",NA
"itis","Taxus","Plantae","Tracheophyta","Pinopsida","Pinales","Taxaceae",NA
"itis","Terminalia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae",NA
"itis","Thalictrum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA
"itis","Thymophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Tilia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae",NA
"itis","Trapella",NA,NA,NA,NA,NA,NA
"itis","Trema","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae",NA
"itis","Trifolium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Trigonella","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Tsuga","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae",NA
"itis","Tulipa","Plantae","Tracheophyta","Magnoliopsida","Liliales","Liliaceae",NA
